stt,question,answer
1,"Tổng mức đầu tư xây dựng đã phê duyệt của dự án sử dụng vốn đầu tư công được điều chỉnh trong trường hợp nào:
a. Giá vật liệu thay đổi
b. Giá nhân công thay đổi
c. Chỉ số giá xây dựng do Bộ Xây dựng, UBND cấp tỉnh công bố trong thời gian thực hiện dự án lớn hơn chỉ số giá xây dựng được sử dụng để tính dự phòng trượt giá trong tổng mức đầu tư được duyệt
d. Cả a, b, c đều đúng.",C
2,"Sơ bộ tổng mức đầu tư xây dựng là ước tính chi phí đầu tư xây dựng của dự án
trong tài liệu nào sau đây?
a. Báo cáo nghiên cứu tiền khả thi đầu tư xây dựng.
b. Báo cáo nghiên cứu khả thi
c. Đáp án a và b đúng
d. Báo cáo kinh tế kỹ thuật.",A
3,"Sơ bộ tổng mức đầu tư, bao gồm nội dung nào sau đây?
a. Chi phí bồi thường, hỗ trợ và tái định cư (nếu có);
b. Chi phí xây dựng; chi phí thiết bị; chi phí quản lý dự án;
c. Chi phí tư vấn đầu tư xây dựng; chi phí khác; chi phí dự phòng.
d. Các đáp án trên đều đúng",D
4,"Sơ bộ tổng mức đầu tư xây dựng được ước tính dựa trên nội dung nào sau đây?
a. Cơ sở quy mô, công suất hoặc năng lực phục vụ theo phương án thiết kế sơ bộ của dự án và suất vốn đầu tư xây dựng
b. Dữ liệu chi phí của các dự án tương tự về loại, cấp công trình, quy mô, công
suất
c. Dựa trên nội dung a hoặc b
d. Không căn cứ vào các nội dung trên",C
5,"Định mức kinh tế - kỹ thuật trong xây dựng gồm những loại định mức nào ?
a. Định mức dự toán xây dựng công trình
b. Định mức sử dụng vật liệu, định mức lao động, định mức năng suất máy và
thiết bị thi công;
c. Định mức cơ sở
d. a và c",D
6,"Việc thẩm định, phê duyệt sơ bộ tổng mức đầu tư xây dựng được thực hiện như
thế nào là đúng sau đây?
a. Thực hiện trước khi thẩm định, phê duyệt Báo cáo nghiên cứu tiền khả thi đầu tư xây dựng theo quy định của pháp luật có liên quan.
b. Thực hiện đồng thời với việc thẩm định, phê duyệt Báo cáo nghiên cứu tiền
khả thi đầu tư xây dựng theo quy định của pháp luật có liên quan.
c. Thực hiện sau khi có kết quả thẩm định, phê duyệt Báo cáo nghiên cứu tiền khả thi đầu tư xây dựng theo quy định của pháp luật có liên quan.
d. Các đáp án trên đều đúng",B
7,"Đơn giá nhân công trong dự toán xây dựng công trình do đơn vị nào sau đây công bố?
a. Ủy ban nhân nhân cấp tỉnh.
b. Đơn vị tư vấn lập dự toán.
c. Người quyết định đầu tư.
d. Chủ đầu tư.",A
8,"Dự toán gói thầu của công trình cấp I thuộc Dự án sử dụng vốn đầu tư công do
cơ quan nào dưới đây thẩm định?
a. Bộ Xây dựng, Bộ quản lý công trình xây dựng chuyên ngành thẩm định.
b. Sở Xây dựng, Sở quản lý công trình xây dựng chuyên ngành thẩm định
c. Chủ đầu tư.
d. Người quyết định đầu tư.",C
9,"Dự toán xây dựng công trình không bao gồm chi phí nào sau đây?
a. Chi phí bồi thường, hỗ trợ và tái định cư
b. Chi phí rà phá bom mìn, vật nổ
c. Chi phí tư vấn xây dựng
d. Chi phí lưu kho, lưu bãi, lưu Container tại cảng Việt Nam đối với thiết bị nhập khẩu",A
10,"Đối với dự án sử dụng vốn đầu tư công (không phải là dự án quan trọng quốc gia, không phải dự án do Thủ tướng quyết định đầu tư), cơ quan nào sau đây phê duyệt quyết toán vốn đầu tư?
a. Người quyết định đầu tư
b. Bộ Tài chính
c. Sở Tài chính
d. Chủ đầu tư",A
11,"Đơn giá nhân công trong dự toán xây dựng công trình do đơn vị nào sau đây quyết định?
a. Ủy ban nhân nhân cấp tỉnh.
b. Đơn vị tư vấn lập dự toán.
c. Người quyết định đầu tư.
d. Chủ đầu tư.",D
12,"Theo quy định về quản lý chi phí đầu tư xây dựng hiện hành, đơn giá ca máy và thiết bị thi công trên địa bàn địa phương do cơ quan nào sau đây ban hành?
a. Bộ Xây dựng
b. Sở Xây dựng
c. Liên sở Tài chính - Xây dựng
d. Không đơn vị nào ở trên",D
13,"Suất vốn đầu tư xây dựng công trình được sử dụng để xác định chỉ tiêu nào dưới đây?
a. Sơ bộ tổng mức đầu tư xây dựng công trình.
b. Giá xây dựng tổng hợp công trình.
c. Dự toán xây dựng công trình.
d. Chi phí xây dựng trong tổng mức đầu tư xây dựng công trình",A
14,"Chi phí quản lý dự án không bao gồm những yếu tố nào sau đây?
a. Bảo hiểm y tế, bảo hiểm thất nghiệp.
b. Chi phí tổ chức thẩm định dự án đầu tư.
c. Chi phí nghiệm thu bàn giao công trình.
d. Chi phí hội nghị, hội thảo, tập huấn, đào tạo.",C
15,"Chi phí thiết kế công trình không bao gồm các chi phí để thực hiện các công việc nào sau đây?
a. Khảo sát xây dựng phục vụ thiết kế.
b. Làm mô hình công trình.
c. Đánh giá tác động môi trường; lập báo cáo đánh giá khoáng sản trong khu vực ảnh hưởng của công trình.
d. Cả 3 phương án trên.",D
16,"Dự toán chi phí khảo sát bao gồm những chi phí nào sau đây ?
a. Chi phí lập phương án kỹ thuật khảo sát.
b. Chi phí lập báo cáo kết quả khảo sát.
c. Chi phí chỗ ở tạm.
d. Cả 3 phương án trên.",D
17,"Chi phí giám sát thi công xây dựng theo quy định được tính như thế nào ?
a. Bằng tỷ lệ % theo quy định nhân với chi phí xây dựng (chưa có thuế giá trị gia tăng) trong dự toán gói thầu xây dựng được duyệt.
b. Bằng tỷ lệ % theo quy định nhân với chi phí xây dựng (chưa có thuế giá trị gia tăng) trong dự toán công trình xây dựng được duyệt.
c. Bằng tỷ lệ % theo quy định nhân với chi phí thiết bị (chưa có thuế giá trị gia
tăng) trong dự toán gói thầu xây dựng được duyệt.
d. Bằng tỷ lệ % theo quy định nhân với chi phí thiết bị (chưa có thuế giá trị gia
tăng) trong dự toán công trình xây dựng được duyệt.",A
18,"Suất vốn đầu tư xây dựng công trình bao gồm những chi phí nào sau đây:
a. Chi phí xây dựng, thiết bị (đã bao gồm thuế GTGT).
b. Chi phí xây dựng, thiết bị, quản lý dự án, tư vấn đầu tư xây dựng và các khoản chi phí khác (chưa bao gồm thuế GTGT cho các chi phí nêu trên).
c. Chi phí xây dựng; chi phí thiết bị; chi phí quản lý dự án; chi phí tư vấn đầu tư xây dựng; một số khoản mục chi phí khác và thuế giá trị gia tăng cho các chi
phí nêu trên.
d. Chi phí xây dựng, thiết bị, quản lý dự án, tư vấn đầu tư xây dựng, các khoản
chi phí khác và chi phí dự phòng (đã bao gồm thuế GTGT cho các chi phí nêu
trên).",C
19,"Chủ đầu tư được thuê các tổ chức, cá nhân tư vấn quản lý chi phí đầu tư xây dựng trong trường hợp nào ?
a. Thực hiện các công việc hoặc phần công việc liên quan tới việc xác định giá
xây dựng công trình
b. Thực hiện các công việc hoặc phần công việc liên quan tới việc thẩm tra giá
xây dựng công trình
c. Cả nội dung a và b
d. Không nội dung nào ở trên",C
20,"Chỉ số giá xây dựng bao gồm những nội dung nào sau đây ?
a. Gồm chỉ số giá xây dựng theo loại công trình,
b. Chỉ số giá nhân công xây dựng, chỉ số giá máy và thiết bị thi công
c. Chỉ số giá của một số vật liệu chủ yếu.
d. Bao gồm các nội dung trên",D
21,"Chỉ số giá xây dựng theo loại công trình, theo cơ cấu chi phí gồm những nội dung nào sau đây?
a. Chỉ số giá phần xây dựng, chỉ số giá phần thiết bị, chỉ số giá phần chi phí khác
b. Chỉ số giá nhân công xây dựng, chỉ số giá máy và thiết bị thi công
c. Chỉ số giá của một số vật liệu chủ yếu.
d. Bao gồm các nội dung trên",A
22,"Câu nào là đáp án sai trong các câu sau:
a. Khối lượng cốt thép phải được đo bóc, phân loại theo chủng loại thép (thép thường và thép dự ứng lực, thép trơn, thép vằn)
b. Khối lượng cốt thép phải được đo bóc, phân loại theo mác thép, nhóm thép,
đường kính cốt thép, chi tiết bộ phận kết cấu (móng, cột, tường…)
c. Khối lượng cốt thép phải được đo bóc, phân loại theo điều kiện thi công
d. Khối lượng cốt thép được đo bóc không bao gồm khối lượng dây buộc, mối
nối chồng, nối ren, nối ống, miếng đệm, con kê, bu lông liên kết…",D
23,"Trên địa bàn tỉnh, đơn vị nào tổ chức xác định chỉ số giá xây dựng ?
a. Sở Xây dựng
b. Bộ Xây dựng
c. Ủy ban nhân dân cấp tỉnh
d. Không đơn vị nào ở trên",A
