stt,question,answer
1,"Vì sao chi phí dự phòng trong dự án đầu tư xây dựng lớn và phức tạp cần cao hơn các dự án khác?
a. Do nhiều cơ quan có liên quan nên có nhiều yêu cầu mới đặt ra khiến phải thay đổi thiết kế trong quá trình thực hiện để đáp ứng, từ đó chi phí phát sinh tăng lên
b. Do thời gian thực hiện dự án đầu tư xây dựng lớn và phức tạp nên rủi ro nhiều hơn
c. Do sử dụng nhiều chủng loại vật liệu và máy móc thiết bị hơn
d. Tất cả các ý trên đều đúng",B
2,"Lựa chọn chu trình quản lý rủi ro phù hợp:
a. Lập kế hoạch đối phó rủi ro - Xác định rủi ro - Phân tích rủi ro - Lập kế quản
lý rủi ro - Kiểm soát và điều chỉnh rủi ro.
b. Lập kế hoạch đối phó rủi ro - Xác định rủi ro - Phân tích rủi ro - Kiểm soát và điều chỉnh rủi ro.
c. Lập kế hoạch quản lý rủi ro -Phân tích rủi ro - Xác định rủi ro - Kiểm soát và
điều chỉnh rủi ro.
d. Lập kế hoạch quản lý rủi ro - Xác định rủi ro - Phân tích rủi ro - Lập kế hoạch đối phó với rủi ro - Kiểm soát và điều chỉnh rủi ro.",D
3,"Phân tích nào sau đây là phân tích độ nhạy.
a. Đánh giá sự thay đổi của NPV khi giá nguyên vật liệu đầu vào của dự án có
một số thay đổi (tăng, giảm).
b. Đánh giá sự thay đổi của IRR khi giá bán sản phẩm của dự án có một số thay đổi (tăng, giảm).
c. Đánh giá sự thay đổi của NPV khi giá nguyên vật liệu đầu vào và giá bán sản phẩm dự án cùng thay đổi (tăng, giảm).
d. Tất cả các phương án trên",D
4,"Với 1 dự án sản xuất gạch lát nền, để trả lời câu hỏi “NPV của dự án thay đổi thế nào nếu giá nguyên vật liệu đầu vào tăng 10%, giá bán giảm 10% và chi phí quản lý doanh nghiệp giảm 2%” là dạng phân tích nào:
a. Phân tích độ nhạy 2 chiều.
b. Phân tích tình huống
c. Phân tích mô phỏng.
d. Phân tích định tính.",B
5,"Mua bảo hiểm trong hoạt động xây dựng là một hình thức kiểm soát phòng ngừa rủi ro theo cách thức:
a. Né tránh rủi ro
b. Chấp nhận rủi ro
c. Chuyển dịch rủi ro.
d. Chuyển dịch rủi ro theo hợp đồng.",D
6,"Chỉ số giá xây dựng sử dụng tính dự phòng cho yếu tố trượt giá (IXDCTbq) để
xác định chi phí dự phòng trong tổng mức đầu tư xây dựng được xác định bằng
cách tính bình quân:
a. Các chỉ số giá xây dựng của tối thiểu 3 năm gần nhất so với thời điểm tính toán
b. Các chỉ số giá xây dựng liên hoàn của tối thiểu 3 năm gần nhất so với thời điểm tính toán (không tính đến những thời điểm có biến động bất thường về giá nguyên liệu, nhiên liệu và vật liệu xây dựng)
c. Các chỉ số giá xây dựng liên hoàn của tối thiểu 3 năm gần nhất so với thời điểm gốc (không tính đến những thời điểm có biến động bất thường về giá nguyên liệu, nhiên liệu và vật liệu xây dựng)
d. Các chỉ số giá xây dựng của tối thiểu 3 năm gần nhất so với thời điểm gốc",B
7,"Trong suất vốn đầu tư do Bộ Xây dựng công bố:
a. Chưa bao gồm thuế giá trị gia tăng.
b. Đã bao gồm thuế giá trị gia tăng
c. Chưa bao gồm thuế giá trị gia tăng và chi phí dự phòng.
d. Chưa bao gồm thuế giá trị gia tăng nhưng đã có chi phí dự phòng.",B
8,"Vốn vay ngắn hạn ngân hàng của dự án để:
a. Bổ sung vốn lưu động cho dự án
b. Bổ sung vốn cố định cho dự án
c. Mua cổ phiếu của dự án
d. Mua máy móc thiết bị nâng cấp công nghệ cho dự án",A
9,"Khi xác định hiệu quả dự án, chi phí khấu hao tài sản cố định trong dự án đầu tư xây dựng là khoản chi phí mà doanh nghiệp:
a. Phải chi trả bằng tiền mặt
b. Không phải chi bằng tiền mặt
c. Có khi phải chi bằng tiền mặt có khi không.
d. Dùng để thanh lý tài sản cố định.",B
10,"Khi xác định hiệu quả dự án, chi phí cơ hội trong dự án được:
a. Cộng vào dòng ngân lưu vào (dòng thu)
b. Cộng vào dòng ngân lưu ra (dòng chi)
c. Trừ khỏi dòng ngân lưu ra
d. Tính bằng không khi đánh giá hiệu quả dự án",B
11,"Thời hạn kiểm soát thanh toán vốn của Kho bạc nhà nước theo quy định là?
a. Trong thời hạn 3 ngày làm việc kể từ khi nhận đủ hồ sơ thanh toán theo quy
định đối với các lần thanh toán đầu tiên.
b. Trong thời hạn 3 ngày làm việc kể từ khi nhận đủ hồ sơ thanh toán theo quy
định đối với các lần thanh toán đầu tiên và 7 ngày làm việc đối với lần thanh toán cuối cùng.
c. Trong thời hạn 7 ngày làm việc kể từ khi nhận đủ hồ sơ thanh toán theo quy
định.
d. Trong thời hạn 14 ngày kể từ khi nhận đủ hồ sơ thanh toán theo quy định.",C
12,"Chi phí mua bảo hiểm trách nhiệm nghề nghiệp tư vấn thiết kế xây dựng của công trình từ cấp II trở lên thuộc khoản mục chi phí nào trong tổng mức đầu tư
xây dựng:
a. Chi phí tư vấn
b. Chi phí quản lý dự án
c. Chi phí khác.
d. Chi phí dự phòng.",A
13,"Khi sử dụng định mức dự toán hiện hành (ban hành theo Thông tư của Bộ Xây
dựng hoặc cấp có thẩm quyền) để tính dự toán thì cần đào bao nhiêu m3 đất nguyên thổ để đắp được 1 m3 đất đắp với hệ số đầm nén K98.
a. 1 m3
b. 1.13 m3
c. 1.07 m3
d. 1.16 m3",D
14,"Trong suất vốn đầu tư do Bộ Xây dựng công bố:
a. Chưa bao gồm thuế giá trị gia tăng.
b. Đã bao gồm thuế giá trị gia tăng
c. Chưa bao gồm thuế giá trị gia tăng và chi phí dự phòng.
d. Chưa bao gồm thuế giá trị gia tăng nhưng đã có chi phí dự phòng.",C
15,"Khi điều chỉnh giá trị dự toán gói thầu thuộc dự án đã phê duyệt dẫn tới phải điều chỉnh tổng mức đầu tư xây dựng (sử dụng hết chi phí dự phòng) nhưng không làm thay đổi mức đầu tư đã phê duyệt thì cách thức xử lý là:
a. Người quyết định đầu tư tổ chức điều chỉnh
b. Chủ đầu tư tự tổ chức điều chỉnh cơ cấu các khoản mục chi phí, báo cáo người quyết định đầu tư và chịu trách nhiệm về việc điều chỉnh của mình.
c. Theo quy định không được phép điều chỉnh.
d. Chủ đầu tư tự tổ chức điều chỉnh và chịu trách nhiệm về việc điều chỉnh của
mình.",B
16,"Lựa chọn phương án đúng về việc sử dụng suất vốn đầu tư:
a. Có thể dùng để xác định tổng mức đầu tư dự án ở giai đoạn chuẩn bị dự án
b. Có thể được sử dụng trong việc xác định giá trị quyền sử dụng đất
c. Có thể được sử dụng để xác định giá trị thực tế của tài sản là sản phẩm xây dựng cơ bản khi xác định giá trị doanh nghiệp để cổ phần hóa theo hướng dẫn
của cơ quan quản lý có thẩm quyền.
d. Tất cả các phương án trên đều đúng",D
17,"Chi phí quản lý dự án không được sử dụng để tổ chức quản lý việc thực hiện và thực hiện các công việc nào sau đây?
a. Thực hiện giám sát, đánh giá đầu tư
b. Thực hiện thẩm định thiết kế xây dựng triển khai sau thiết kế cơ sở và thẩm
định dự toán xây dựng
c. Lập nhiệm vụ, lập phương án kỹ thuật khảo sát xây dựng, lập nhiệm vụ thiết
kế
d. Xác định dự toán gói thầu xây dựng (trong trường hợp đã có dự toán xây dựng công trình được phê duyệt) và thực hiện các công việc cần thiết khác thuộc trách nhiệm của chủ đầu tư",C
18,"Chi phí cơ hội của dự án là một khoản chi mà:
a. Phải chi bằng tiền mặt
b. Không phải chi bằng tiền mặt
c. Có khi phải chi có khi không phải chi
d. Được tính là một khoản thu.",B
