stt,question,answer
1,"Theo quy định của pháp luật xây dựng Việt Nam, công trình xây dựng được
phân thành mấy cấp?
a. 04 cấp (Cấp I, cấp II, cấp III, cấp IV).
b. 05 cấp (Cấp đặc biệt, cấp I, cấp II, cấp III, cấp IV) trừ các trường hợp khác
được quy định trong quy chuẩn kỹ thuật hoặc quy định của pháp luật khác liên
quan
c. 06 cấp (Cấp đặc biệt, cấp I, cấp II, cấp III, cấp IV, cấp V) trừ các trường hợp
khác theo quy định của pháp luật khác liên quan.
d. 07 cấp (Cấp đặc biệt, cấp I, cấp II, cấp III, cấp IV, cấp V, công trình tạm)",B 
2,"Theo quy định của pháp luật xây dựng Việt Nam, nhóm các công trình nào sau
đây thuộc hệ thống công trình hạ tầng xã hội?
a. Công trình cấp nước, thu gom và xử lý nước thảy.
b. Khu công nghệ cao, khu chế xuất, khu công nghiệp.
c. Trường học, bênh viện, công viên, dịch vụ công cộng.
d. Cả ba đáp án a, b, c",C 
3,"Theo quy định của pháp luật xây dựng Việt Nam, giấy phép xây dựng là văn
bản pháp lý do cơ quan nhà nước có thẩm quyền cấp cho đối tượng nào sau
đây?
a. Chủ đầu tư.
b. Nhà thầu thi công xây dựng.
c. Nhà thầu tư vấn.
d. Cả ba đáp án a, b, c",A 
4,"Cơ quan nào có trách nhiệm tổ chức lập quy hoạch xây dựng?
a. Bộ Xây dựng và Ủy ban nhân dân các cấp
b. Ủy ban nhân dân các cấp
c. Bộ Xây dựng và Chủ đầu tư dự án
d. Ủy ban nhân dân các cấp và Chủ đầu tư dự án",A 
5,"Loại nào dưới đây là Quy hoạch xây dựng?
a. Quy hoạch bảo quản, tu bổ, phục hồi di tích;
b. Quy hoạch khu chức năng đặc thù;
c. Quy hoạch đô thị;
d. Quy hoạch chi tiết nhóm cảng biển, bến cảng, cầu cảng, bến phao, khu nước,
vùng nước.",C 
6,"Theo quy định của pháp luật xây dựng Việt Nam, dự án xây dựng công trình
rạp chiếu phim được phân loại là dự án đầu tư xây dựng nào?
a. Dự án đầu tư xây dựng công trình công cộng
b. Dự án đầu tư xây dựng công trình dịch vụ
c. Dự án đầu tư xây dựng có công năng phục vụ hỗn hợp
d. Dự án đầu tư xây dựng công trình hạ tầng kỹ thuật",A 
7,"Các bộ phận chi tiết kiến trúc nào của công trình được vượt quá chỉ giới đường
đỏ theo quy định của pháp luật về xây dựng ở Việt Nam?
a. Các chi tiết kiến trúc của công trình do đồ án quy hoạch chi tiết, thiết kế đô
thị quy định.
b. Không một bộ phận, chi tiết kiến trúc nào của công trình được vượt quá chỉ
giới đường đỏ.
c. Có thể xây dựng các bộ phận, chi tiết kiến trúc như bậc thềm, vệt dắt xe, ram
dốc, bậu cửa, ô văng, mái đua… vượt quá chỉ giới đường đỏ nhưng phải đảm
bảo tuân thủ các quy định về phòng cháy chữa cháy và hoạt động của phương
tiện chữa cháy.
d. Có thể xây dựng các bộ phận, chi tiết kiến trúc vượt quá chỉ giới đường đỏ
nhưng phải đảm bảo tính thống nhất về cảnh quan trên tuyến phố hoặc từng
đoạn phố",B 
8,"Theo pháp luật Việt Nam thì việc áp dụng tiêu chuẩn, quy chuẩn trong hoạt
động xây dựng theo nguyên tắc nào?
a. Tiêu chuẩn được áp dụng trong hoạt động đầu tư xây dựng theo nguyên tắc
bắt buộc theo quyết định đầu tư.
b. Phù hợp với yêu cầu của quy chuẩn kinh tế kỹ thuật và quy định của pháp
luật về đầu tư xây dựng.
c. Tiêu chuẩn được áp dụng trong hoạt động đầu tư xây dựng theo nguyên tắc
tự nguyện, phải được người quyết định đầu tư xem xét, chấp thuận khi quyết
định đầu tư.
d. Tiêu chuẩn được áp dụng trong hoạt động đầu tư xây dựng đáp ứng yêu cầu
của nhà thầu thi công xây dựng.",C 
9,"Theo quy định của pháp luật xây dựng Việt Nam, quy hoạch xây dựng gồm có
mấy loại?
a. 2 loại: Quy hoạch xây dựng đô thị; quy hoạch nông thôn.
b. 3 loại: Quy hoạch vùng; quy hoạch đô thị; quy hoạch nông thôn.
c. 3 loại: Quy hoạch xây dựng vùng liên huyện, vùng huyện và khu chức năng;
quy hoạch đô thị; quy hoạch nông thôn.
d. 4 loại: Quy hoạch chung xây dựng đô thị; quy hoạch phân khu xây dựng đô
thị; quy hoạch chi tiết xây dựng đô thị; quy hoạch nông thôn.",C 
10,"Khái niệm đầy đủ về chỉ giới đường đỏ trong xây dựng là gì?
a. Là đường ranh giới được xác định trên bản đồ quy hoạch vùng và địa hình
để phân định ranh giới giữa phần đất được xây dựng công trình và phần đất
được dành cho đường giao thông hoặc công trình hạ tầng kỹ thuật, không gian
công cộng khác.
b. Là đường ranh giới được xác định trên thực địa để phân định ranh giới giữa
phần đất không được xây dựng công trình và phần đất không được dành cho
đường giao thông hoặc công trình hạ tầng kỹ thuật, không gian công cộng
khác.
c. Là đường xác định trên bản đồ quy hoạch và thực địa để phân định ranh giới
giữa phần đất được xây dựng công trình và phần đất được dành cho đường giao
thông hoặc công trình hạ tầng kỹ thuật.
d. Là đường ranh giới được xác định trên bản đồ quy hoạch và thực địa để
phân định ranh giới giữa phần đất được xây dựng công trình và phần đất được
dành cho đường giao thông hoặc công trình hạ tầng kỹ thuật, không gian công
cộng khác.",D 
