stt,question,answer
1,"Tốc độ cho phép lưu hành trên đường là phương án nào trong phương án sau ?
a. Là tốc độ thiết kế của đường
b. Là tốc độ quy định theo cấp hạng kỹ thuật của đường
c. Là tốc độ khai thác cho phép phụ thuộc vào tình trạng thực tế của đường do
cơ quan quản lý đường quy định
d. Là tốc độ dùng để tính toán các chỉ tiêu kỹ thuật chủ yếu của đường",c 
2,"Khi thiết kế trắc dọc đường ô tô cao tốc TCVN 5729: 2012 quy định chiều dài
tối thiểu tùy thuộc vào cấp đường và phải đủ để bố trí chiều dài đường cong
đứng. Với đường cấp 100 (Vtk = 100 km/h) chiều dài tối thiểu là bao nhiêu ?
a. Chiều dài tối thiểu 350 mét
b. Chiều dài tối thiểu 300 mét
c. Chiều dài tối thiểu 250 mét
d. Chiều dài tối thiểu 200 mét",c 
3,"Khi thiết kế trắc dọc đường ô tô cao tốc TCVN 5729: 2012 quy định chiều dài
tối đa đoạn dốc tùy thuộc vào cấp đường và độ dốc dọc. Với đường cấp 100
(Vtk = 100 km/h) và độ dốc dọc 4% chiều dài tối đa là bao nhiêu ?
a. Chiều dài tối đa 700 mét
b. Chiều dài tối đa 800 mét
c. Chiều dài tối đa 900 mét
d. Chiều dài tối đa 1000 mét",b 
4,"Khi xác định lưu lượng xe tính toán để xác định Eyc mặt đường phải xét đến
hệ số ảnh hưởng của số làn xe. Trong trường hợp đường có 2 hoặc 3 làn xe
không có dải phân cách thì hệ số phân phối trục xe f chọn là bao nhiêu? Trong
các trường hợp sau
a. Hệ số f = 1
b. Hệ số f = 0,5
c. Hệ số f= 0,55
d. Hệ số f = 0,35",c 
5,"Khi thiết kế một tuyến đường ô tô, tiêu chuẩn quy định chiều dài tối thiểu
thống nhất theo một cấp để đảm bảo an toàn. Đường từ cấp II trở lên chiều dài
tối thiểu quy định là bao nhiêu trong các phương án sau?
a. Không quy định
b. Chiều dài tối thiểu 5 km.
c. Chiều dài tối thiểu 7.5 km.
d. Chiều dài tối thiểu 10 km.",d 
6,"Độ bằng phẳng mặt đường được đánh giá qua chỉ số độ gồ ghề quốc tế IRI
(m/km). Với đường vận tốc thiết kế Vtk = 80 -120 km/h, làm mới thì tiêu chí
bằng phẳng của mặt đường BTN, BTXM trong vòng 1 năm từ khi làm xong
mặt đường theo IRI yêu cầu phải là phương án nào trong số phương án sau?
a.Chỉ số IRI yêu cầu ≤ 2,0
b.Chỉ số IRI yêu cầu ≤ 2,2
c.Chỉ số IRI yêu cầu ≤ 2,5
d.Chỉ số IRI yêu cầu < 2,5",a 
7,"Độ bằng phẳng mặt đường được đánh giá qua chỉ số độ gồ ghề quốc tế IRI
(m/km). Với đường vận tốc thiết kế Vtk = 80 -120 km/h, cải tạo, nâng cấp,
tăng cường thì IRI yêu cầu phải là phương án nào trong số phương án sau?
a.Chỉ số IRI yêu cầu < 2,0
b.Chỉ số IRI yêu cầu < 2,5
c.Chỉ số IRI yêu cầu < 2,8
d.Chỉ số IRI yêu cầu < 3,0",b 
8,"Biển báo hiệu đường bộ theo QCVN41-2019 được phân thành mấy nhóm? Các
phương án sau phương án nào đúng?
a.Có 2 nhóm biển báo hiệu đường bộ.
b.Có 3 nhóm biển báo hiệu đường bộ.
c.Có 4 nhóm biển báo hiệu đường bộ.
d.Có 5 nhóm biển báo hiệu đường bộ",d 
9,"Mức phục vụ (LOS) là thước đo về chất lượng vận hành của dòng giao thông
được chia làm bao nhiêu mức? Các phương án sau phương án nào đúng?
a.Có 4 mức
b.Có 5 mức
c.Có 6 mức
d.Có 7 mức",c 
10,"Định nghĩa đường giao thông nông thôn theo tiêu chuẩn TCVN10380:2014
bao gồm mấy loại?
a.Có 2 loại
b.Có 3 loại
c.Có 4 loại
d.Có 5 loại",d 
